character,real,male,alive,cricketer,national_team,batsman,bowler,all_rounder,captain_experience,spin_bowler,fast_bowler,wicket_keeper,young_player
ParasKhadka,1,1,1,1,1,1,1,1,1,0,1,0,0
DipendraSinghAiree,1,1,1,1,1,1,1,1,0,1,0,0,1
SandeepLamichhane,1,1,1,1,1,0,1,0,1,1,0,0,1
RohitPaudel,1,1,1,1,1,1,0,1,1,1,0,0,1
SompalKami,1,1,1,1,1,0,1,1,0,0,1,0,0
GyanendraMalla,1,1,1,1,1,1,0,0,1,0,0,0,0
KaranKC,1,1,1,1,1,0,1,1,0,0,1,0,0
AasifSheikh,1,1,1,1,1,1,0,0,0,0,0,1,1
KushalBhurtel,1,1,1,1,1,1,1,1,0,1,0,0,1
KushalMalla,1,1,1,1,1,1,1,1,0,1,0,0,1
GulshanJha,1,1,1,1,1,1,1,1,0,0,1,0,1
AarifSheikh,1,1,1,1,1,1,1,1,0,0,1,0,1
LalitRajbanshi,1,1,1,1,1,0,1,0,0,1,0,0,0
AbinashBohara,1,1,1,1,1,0,1,0,0,0,1,0,0
BinodBhandari,1,1,1,1,1,1,0,0,0,0,0,1,0
SundeepJora,1,1,1,1,1,1,0,0,0,0,0,0,1
NandanYadav,1,1,1,1,1,0,1,1,0,0,1,0,1
LokeshBam,1,1,1,1,1,1,0,0,0,0,0,1,1
AadilAnsari,1,1,1,1,1,1,1,1,0,0,1,0,1
SahabAlam,1,1,1,1,1,0,1,0,0,1,0,0,0
SherMalla,1,1,1,1,1,1,1,1,0,1,0,0,1
BhimSharki,1,1,1,1,1,1,1,1,0,1,0,0,1
IshanPandey,1,1,1,1,1,1,1,1,0,1,0,0,0
BasirAhamad,1,1,1,1,1,1,1,1,0,1,0,0,1
PratishGC,1,1,1,1,1,0,1,0,0,0,1,0,1
RupeshKSingh,1,1,1,1,1,1,1,1,0,0,1,0,1
